owner_id,owner_name,address,city,state,phone,email,experience_years,total_goats,initial_investment
OWN001,Edward Vega,"522 Aaron Station
East Robert, NY 65833",Mccartyfort,North Dakota,(856)313-7735,harrisjonathan@example.com,9,7,89443
OWN002,Kimberly Novak,"6899 King Divide Suite 767
Rodriguezhaven, MD 71795",West Corey,North Dakota,001-420-730-9426x19336,troytaylor@example.net,23,47,80653
OWN003,Tina Davis,"PSC 8327, Box 1903
APO AA 20533",Austinfort,Wyoming,(962)423-2224x500,rogerschristopher@example.net,13,36,51971
OWN004,Madeline Bishop,"507 Kimberly Squares Apt. 159
Ericburgh, MH 91224",New Lauren,Wisconsin,(813)469-9910x09301,michaelcarter@example.com,10,60,86736
OWN005,Nicolas Jones,"6930 Tran Circle
South Jenny, WA 25538",Robertsonborough,West Virginia,+1-316-625-1723x340,thomasmartin@example.net,6,36,28265
OWN006,Erika Jackson,"61546 Emily Roads Apt. 753
New Leefurt, NV 32706",Michaelchester,Colorado,+1-691-825-0200x0091,benjamin22@example.net,13,59,28230
OWN007,Melissa Booth,"85248 Macdonald Way Suite 167
Carrollfort, MT 40711",East Marissa,Alaska,6456507153,xanderson@example.org,9,24,86215
OWN008,April Moore,"62953 Ann Spring Suite 808
Brandyside, FM 14616",Norrisshire,Oklahoma,911.837.0265x2574,allison66@example.net,24,80,65663
OWN009,Thomas Jimenez,"97298 Debra Cape
Martinview, KS 38318",Lake Jared,Oklahoma,869.282.8221,prussell@example.org,13,33,87454
OWN010,Beverly Foley,"1481 Robert Forest Apt. 862
Michaelmouth, OK 62544",Jonview,New York,(912)356-3206,littlenicholas@example.com,1,62,46336
OWN011,Steven Arias,"2027 Conrad Branch Apt. 130
Port Dianamouth, NE 75806",South Tony,Minnesota,+1-615-674-6683x8264,martinezronald@example.org,5,89,60489
OWN012,Casey Solomon,"936 Jose Isle Apt. 639
Gibsonmouth, NY 78120",Aguirrestad,Florida,+1-835-207-7313x914,yvega@example.com,14,31,37637
OWN013,Grace Miller,"USCGC Brown
FPO AP 44697",North Hunterbury,Alabama,934-440-4619,wgarcia@example.org,17,85,91805
