fisher_id,fisher_name,license_number,address,city,state,phone,email,experience_years,license_expiry,vessel_owner,crew_size,annual_quota_kg,total_catch_this_year
FSH001,Courtney Harris,LIC31125,"624 Samantha Avenue
Terryshire, AR 08713",Port Robin,Minnesota,+1-416-342-6015,hamiltoncassandra@example.net,1,2027-01-10,True,8,1329,2819
FSH002,Jade Banks,LIC17002,"Unit 4378 Box 7573
DPO AA 45921",Boydton,Maine,899-786-5212x51162,castroian@example.com,29,2026-06-06,False,4,1558,4363
FSH003,Julie Smith,LIC23718,"PSC 6720, Box 5767
APO AA 89759",Ortizhaven,Delaware,9266691811,gregory22@example.com,13,2026-08-14,True,1,4194,1600
FSH004,Kayla Holland,LIC68484,"4458 Hodges Knoll Apt. 583
East Jacquelineton, NV 44085",North Luisborough,Minnesota,(891)496-3935x8898,james28@example.org,9,2025-08-31,False,8,2131,2758
FSH005,Keith Miller,LIC31000,"74293 Jessica Fall Suite 387
North Eric, ND 06016",West David,Illinois,454-659-2473x8532,lfranco@example.net,16,2026-02-18,True,7,4098,3631
FSH006,Laura Lopez,LIC23420,"74918 Douglas Station Suite 133
North Scottview, OK 60282",Lake Kevinfurt,North Dakota,+1-988-504-0991,druiz@example.com,11,2027-01-10,False,2,4206,3405
FSH007,Bruce Brown,LIC97752,"5787 Mclaughlin Via Apt. 672
North Gabrielleshire, NM 72092",Allisonside,Colorado,380-762-7748,adam46@example.net,27,2026-07-23,True,4,4311,2808
FSH008,Kristen Goodwin,LIC94065,"920 Sherry Gateway Apt. 192
North Carriebury, MS 85979",Josefort,Illinois,(840)817-9974x9327,kaitlyncherry@example.com,12,2027-01-28,True,3,2676,1728
FSH009,Joshua Mathews,LIC28293,"4259 Lane Course Suite 710
West Erin, CO 34094",New Christinaberg,New York,+1-698-813-7008x6557,ronaldcollins@example.com,17,2027-01-25,True,4,2786,4110
FSH010,Bradley Mueller,LIC77939,"Unit 9742 Box 8063
DPO AE 88172",West Michellefurt,Oregon,(954)671-4721,xking@example.net,20,2026-06-24,False,1,4963,3419
FSH011,George Smith,LIC32027,"75588 Brandon Skyway Apt. 746
South Kathytown, OK 07868",South Allisonchester,Illinois,001-270-282-7379x7239,zoesmall@example.org,14,2026-03-29,False,6,989,2570
FSH012,Melissa Carter,LIC69083,"72458 Kerry Shoals Apt. 471
Nicolestad, FM 02979",Rebeccabury,Nebraska,259.861.5771x313,thompsonstephanie@example.org,33,2026-04-19,True,8,4763,2132
FSH013,Jeffery Davidson,LIC15446,"625 Lee Garden Apt. 556
Colebury, AR 37227",Port Kristine,Iowa,001-815-776-9748x08904,thomas48@example.com,37,2025-12-03,False,3,3659,2072
FSH014,Nicholas Richard,LIC84351,"8459 Perez Walks
Port Richardview, WY 01191",North David,Maine,001-766-239-1603x168,tracy07@example.net,31,2025-07-02,False,2,4034,3420
